sample_id	accession_pat	accession_mat	sex
NA18943	NA18943_hap1_hprc_r2_v1.0.1	NA18943_hap2_hprc_r2_v1.0.1	male
NA18944	NA18944_hap1_hprc_r2_v1.0.1	NA18944_hap2_hprc_r2_v1.0.1	male
NA18945	NA18945_hap1_hprc_r2_v1.0.1	NA18945_hap2_hprc_r2_v1.0.1	male
NA18948	NA18948_hap1_hprc_r2_v1.0.1	NA18948_hap2_hprc_r2_v1.0.1	male
NA18952	NA18952_hap1_hprc_r2_v1.0.1	NA18952_hap2_hprc_r2_v1.0.1	male
NA18959	NA18959_hap1_hprc_r2_v1.0.1	NA18959_hap2_hprc_r2_v1.0.1	male
NA18960	NA18960_hap1_hprc_r2_v1.0.1	NA18960_hap2_hprc_r2_v1.0.1	male
NA18967	NA18967_hap1_hprc_r2_v1.0.1	NA18967_hap2_hprc_r2_v1.0.1	male
NA18970	NA18970_hap1_hprc_r2_v1.0.1	NA18970_hap2_hprc_r2_v1.0.1	male
NA18971	NA18971_hap1_hprc_r2_v1.0.1	NA18971_hap2_hprc_r2_v1.0.1	male
NA18974	NA18974_hap1_hprc_r2_v1.0.1	NA18974_hap2_hprc_r2_v1.0.1	male
NA18976	NA18976_hap1_hprc_r2_v1.0.1	NA18976_hap2_hprc_r2_v1.0.1	female
NA18982	NA18982_hap1_hprc_r2_v1.0.1	NA18982_hap2_hprc_r2_v1.0.1	male
NA18983	NA18983_hap1_hprc_r2_v1.0.1	NA18983_hap2_hprc_r2_v1.0.1	male
NA19036	NA19036_hap1_hprc_r2_v1.0.1	NA19036_hap2_hprc_r2_v1.0.1	female
NA19043	NA19043_hap1_hprc_r2_v1.0.1	NA19043_hap2_hprc_r2_v1.0.1	male
NA19087	NA19087_hap1_hprc_r2_v1.0.1	NA19087_hap2_hprc_r2_v1.0.1	female
NA19159	NA19159_hap1_hprc_r2_v1.0.1	NA19159_hap2_hprc_r2_v1.0.1	female
NA19185	NA19185_hap1_hprc_r2_v1.0.1	NA19185_hap2_hprc_r2_v1.0.1	female
NA19240	NA19240_pat_hprc_r2_v1.0.1	NA19240_mat_hprc_r2_v1.0.1	female
NA19338	NA19338_hap1_hprc_r2_v1.0.1	NA19338_hap2_hprc_r2_v1.0.1	female
NA19391	NA19391_hap1_hprc_r2_v1.0.1	NA19391_hap2_hprc_r2_v1.0.1	female
NA19443	NA19443_hap1_hprc_r2_v1.0.1	NA19443_hap2_hprc_r2_v1.0.1	male
NA19468	NA19468_hap1_hprc_r2_v1.0.1	NA19468_hap2_hprc_r2_v1.0.1	female
NA19682	NA19682_hap1_hprc_r2_v1.0.1	NA19682_hap2_hprc_r2_v1.0.1	male
NA19700	NA19700_hap1_hprc_r2_v1.0.1	NA19700_hap2_hprc_r2_v1.0.1	male
NA19776	NA19776_hap1_hprc_r2_v1.0.1	NA19776_hap2_hprc_r2_v1.0.1	female
NA19835	NA19835_hap1_hprc_r2_v1.0.1	NA19835_hap2_hprc_r2_v1.0.1	female
NA19909	NA19909_hap1_hprc_r2_v1.0.1	NA19909_hap2_hprc_r2_v1.0.1	female
NA20129	NA20129_pat_hprc_r2_v1.0.1	NA20129_mat_hprc_r2_v1.0.1	female
NA20282	NA20282_hap1_hprc_r2_v1.0.1	NA20282_hap2_hprc_r2_v1.0.1	female
NA20346	NA20346_hap1_hprc_r2_v1.0.1	NA20346_hap2_hprc_r2_v1.0.1	male
NA20503	NA20503_hap1_hprc_r2_v1.0.1	NA20503_hap2_hprc_r2_v1.0.1	female
NA20752	NA20752_hap1_hprc_r2_v1.0.1	NA20752_hap2_hprc_r2_v1.0.1	male
NA20762	NA20762_hap1_hprc_r2_v1.0.1	NA20762_hap2_hprc_r2_v1.0.1	male
NA20799	NA20799_hap1_hprc_r2_v1.0.1	NA20799_hap2_hprc_r2_v1.0.1	female
NA20805	NA20805_hap1_hprc_r2_v1.0.1	NA20805_hap2_hprc_r2_v1.0.1	male
NA20806	NA20806_hap1_hprc_r2_v1.0.1	NA20806_hap2_hprc_r2_v1.0.1	male
NA20809	NA20809_hap1_hprc_r2_v1.0.1	NA20809_hap2_hprc_r2_v1.0.1	male
NA20827	NA20827_hap1_hprc_r2_v1.0.1	NA20827_hap2_hprc_r2_v1.0.1	male
NA20850	NA20850_hap1_hprc_r2_v1.0.1	NA20850_hap2_hprc_r2_v1.0.1	male
NA20870	NA20870_hap1_hprc_r2_v1.0.1	NA20870_hap2_hprc_r2_v1.0.1	male
NA20905	NA20905_hap1_hprc_r2_v1.0.1	NA20905_hap2_hprc_r2_v1.0.1	male
NA21093	NA21093_hap1_hprc_r2_v1.0.1	NA21093_hap2_hprc_r2_v1.0.1	male
NA21102	NA21102_hap1_hprc_r2_v1.0.1	NA21102_hap2_hprc_r2_v1.0.1	female
NA21106	NA21106_hap1_hprc_r2_v1.0.1	NA21106_hap2_hprc_r2_v1.0.1	female
NA21110	NA21110_hap1_hprc_r2_v1.0.1	NA21110_hap2_hprc_r2_v1.0.1	female
NA21144	NA21144_hap1_hprc_r2_v1.0.1	NA21144_hap2_hprc_r2_v1.0.1	female
NA21309	NA21309_pat_hprc_r2_v1.0.1	NA21309_mat_hprc_r2_v1.0.1	female
